商品群,売上増減,分類別平均単価指数,突合単価効果,差
食品容器,0.10666810820542283,0.19372166303532423,0.23919074388695472,-0.04546908085163048
フィルム・袋・ラミネート,0.09282403467160716,0.2505962987801318,0.2592102629718207,-0.008613964191688916
紙箱・紙製品・ラベル・段ボール,0.040481855767932284,0.06491585430392965,0.07905181524898275,-0.014135960945053094
木箱,-0.03657056622755994,0.2555939169046615,,
消耗品,-0.09933725864683929,0.1321665922661015,0.11440193888688266,0.017764653379218842
荷役,-0.09452372896995043,0.02120949275756523,-0.07513801382289165,0.09634750658045688
その他,0.05251067666150444,0.1399773342317534,0.18590153193603998,-0.04592419770428657
全体,0.07522776440409373,0.17507099418615057,0.1955364790068228,-0.02046548482067223
